#NAME	SRR24889266	SRR24889267	SRR24889268	SRR24889269	SRR24889270	SRR24889271	SRR24889272	SRR24889273	SRR24889274	SRR24889275	SRR24889276	SRR24889277	SRR24889278	SRR24889279	SRR24889280	SRR24889281	SRR24889282	SRR24889283	SRR24889284	SRR24889285	SRR24889286	SRR24889287	SRR24889288	SRR24889289	SRR24889290	SRR24889291	SRR24889292	SRR24889293	SRR24889294	SRR24889295	SRR24889297	SRR24889308	SRR24889319	SRR24889337	SRR24889348	SRR24889362	SRR24889373	SRR24889380	SRR24889381	SRR24889382	SRR24889383	SRR24889384	SRR24889385	SRR24889386	SRR24889387	SRR24889388	SRR24889389	SRR24889390	SRR24889391	SRR24889402	SRR24889413	SRR24889424	SRR24889425	SRR24889426
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Moraxella|s__Moraxella_catarrhalis	0	0	0	2.40E-06	0	7.99E-05	0.000474665	3.79E-05	0	0	0	0	2.84E-05	0	3.77E-05	0	0	0	3.10E-06	4.15E-05	0.000766969	0.000260892	0	2.12E-05	8.85E-05	0	0	0.000170213	0	3.36E-05	0.000187126	0	0.170276647	0	0	0.00013421	0	0.000215454	0.039429726	0	2.59E-06	0.000183233	0.000191297	8.81E-05	8.49E-05	0.001227639	0.000173671	0.767104199	0	0.000159388	0.000124732	0.000216779	0	2.37E-06
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_protegens	6.14E-05	0.000212291	1.87E-05	0	1.81E-05	0.000239636	0	5.98E-06	0.000595795	0.435920939	0.000491978	4.97E-06	6.63E-05	0.000170794	0.000264231	0.00044964	0	0	0	0	0.000255656	0.000260892	0.000679071	2.12E-05	0.00026551	1.41E-06	5.75E-06	8.51E-05	0	0	0.00130988	0.000720364	0	0.000194717	7.96E-05	6.71E-05	0	0	0.000291353	0.000106802	0.426754063	0.000324821	1.47E-05	0.000220264	0	0.001052262	0	2.06E-06	0	0	0	0.000216779	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae	0.023520048	0.031149989	0.001499756	0.005784961	0.000272114	0.000798786	0.00154266	0.01643834	0.000340455	0.002050976	0.000273321	0.000208778	0.040126556	0.001793339	0.000641703	0.002498002	0.00335629	0.031849269	0.000700838	0.041741684	0.008436661	0.000521785	0.000203721	0.036468167	0.000177007	0.016320645	0.004198467	0.005446809	0.037714609	0.291034026	0.004958832	0.001755887	0.000310595	0.005646784	0.000318598	0.013823648	3.39E-05	0.000192774	0	0.048342622	0.000902403	0.000949478	0.014509175	4.41E-05	0.026781417	0	0.000521014	0.006249087	0.001197303	0.009085113	0.000654845	0	0.011955855	0.027933438
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	0.02931374	0.012961323	0.002943272	0.001257496	9.07E-05	0.000798786	0.001423994	0.382125076	0.001532045	0.007315146	0.001065952	0.00010936	0.019021276	0.000426985	0.001207912	0.017436051	0.028332316	0.002614993	0.000310105	0.000387779	0.006647066	0.000260892	0.000203721	0.060398413	0.00026551	0.005773159	0.001374566	0.002893617	0.027881526	0.00330846	0.003648952	0.002656341	0.000245206	0.019861102	0.002787734	0.017514428	1.70E-05	0.000260812	3.88E-05	0.032768899	0.007371782	0.000966135	0.011875156	8.81E-05	0.013249158	0.000526131	0.000521014	0.005209631	0.000693175	0.022154925	0.000426169	0.000216779	0.003372164	0.002173707
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_mucosa	0.052421207	0.002773112	0	0.012377797	5.44E-05	0.000159757	0.000355999	0.000590432	0	0	0	2.98E-05	0	0.004355252	0.000226483	0.004496403	0.298840554	0	9.30E-06	0	0.009331459	0	0.003531169	0.016250504	0	0.006861768	0.000511868	0.004851064	0.004935179	0.007236356	0.000842066	0.000135068	1.09E-05	0.026968261	0.004938272	0.00026842	0	2.27E-05	0.002078316	0.006980989	0	0.002232106	0.003296202	0	0.148741613	0	0	0.00064014	0.004978259	0	0.002775295	0	0.001839362	5.93E-05
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._oral_taxon_431	0.024564668	0.216027379	0.000356192	0.000358254	0.000108846	0.00055915	0.004271983	0.021506878	0	0.000835583	0.000573974	5.97E-05	0.036062747	0.000853971	7.55E-05	0.00032474	0.000566646	0.001877431	0.000507022	0.000263136	0.004090502	0.000260892	0.000135814	0.048709082	0	0.03020111	0.000471609	0.007404255	0.042903257	0.008095883	0.007578593	0.000225114	0.000108981	0.001492828	0	0.004697356	3.39E-05	0.000294831	5.83E-05	0.04433268	0.000155141	0.000632985	0.000721044	0	0.057724429	0.000350754	0.002605071	0.01085151	0.000693175	0.013388588	0.000270253	0	0.007050889	0.000516759
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.012172605	0.001104093	1.87E-05	0.000783831	3.63E-05	0.007109194	0.002966655	0.008627086	0.0018725	0.004223491	5.47E-05	0.00016404	6.63E-05	0.047736977	0.00781368	0.002872702	0.049995641	0.101180099	0.001209411	4.15E-05	0.002684392	0.001304461	0.000679071	0.021214757	0.000354014	0.023855371	0.000977725	0.003829787	0.030952967	0.003092378	0.002526198	0	0.000245206	0.006587915	0.001194743	0.00764998	3.39E-05	0.000124736	0.000116541	0.024642212	0.003731141	0.052912565	0.002074841	0.000748899	0.003850183	0.000876885	0.002778743	0.002062446	0.04877434	0.029327383	0.000582084	0.000650336	0.007357449	0.000400607
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0.05139707	0.00071504	0	0.001043505	0.001451273	0	0.003915984	0.003903632	0	7.60E-06	0	0.001471385	3.79E-05	0.048163962	0.000188736	0.001598721	0.000523058	0	0.001342756	0.000955599	0.004346159	0.000260892	0.000271628	0.051127564	0	0.000787474	0.004336498	0.006808511	0.098875048	0.009483611	0.004584581	4.50E-05	0.001307766	0.003796975	0	0.011810495	0.001052381	0.001099948	0	0.09868536	7.76E-06	0.023953492	0.001883544	0.00030837	0.022987855	0.000175377	0.000173671	0.001866904	0.042661793	0.000159388	0.000291042	0.000433557	0.011955855	0.001637984
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella|s__Eikenella_corrodens	0.001012433	5.51E-05	0	0.002274552	0	7.99E-05	0.000118666	0.000313168	0	0.0001342	0	6.96E-05	9.47E-06	0.002391119	0.002340329	0.000949241	0.00239735	0	7.75E-06	0	0.151220759	0	0.000882792	0.000487939	0	0.000704061	2.30E-05	0.000340426	0.00076786	8.16E-05	0.002245509	0.000360182	1.09E-05	0.001460375	0.000238949	0.000402631	0	0.000124736	0	0.000708779	0.000180998	0.001299285	8.83E-05	0	0.001387198	0.000175377	0	4.12E-06	0.00264667	0	0.343627217	0	0.00030656	3.08E-05
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._BTAi1	0.004169703	0.049411491	0.002418357	0.000302953	1.81E-05	0.12021727	0.023258574	0.110909425	0	0.033304299	0.00142127	0.000516973	0.00231135	8.54E-05	0	5.00E-05	0	6.71E-05	0	1.38E-05	0.000127828	0	6.79E-05	0.000148503	8.85E-05	7.07E-07	3.45E-05	0	0	1.92E-05	0	0.000135068	2.18E-05	0	0	0.00013421	0	3.40E-05	3.88E-05	9.71E-06	0.002844251	2.50E-05	5.89E-05	0.002290749	0.078136059	0.005612066	0.000173671	0.011044993	0	0.000159388	5.20E-05	0.000433557	0.00030656	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.006454992	0.06361725	0.000768625	0.002072584	5.44E-05	0.020928189	0.01091729	0.004753375	0.005021704	0.002734634	0.000601306	0.000646216	0.026457382	0.007258753	0.020043787	0.009542366	0.00623311	0.070135443	0.006343206	0.000789408	0.003067877	0.00234803	6.79E-05	0.021787555	0.000442517	0.030577175	0.003007943	0.011574468	0.012457227	0.010631248	0.016747754	0.000675341	0.000108981	0.00197962	0.000557547	0.008790766	0	5.67E-05	0.001184834	0.006709129	0.003071791	0.011560308	0.000485601	0	0.006596269	0.004033672	0.000694686	0.003834667	0.012603189	0.00079694	0.000322225	0.000650336	0.002759044	0.00052387
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._LPB0220	0.005717613	0.072998931	0.000824866	0.002320236	3.63E-05	0.004153686	0.010205293	0.003965468	0.002893863	0.003909514	0.000628639	0.000183923	0.035390182	0.009735269	0.008644119	0.011340927	0.006843344	0.086764114	0.002981663	0.000415478	0.000766969	0.001304461	0.000339536	0.021066254	0.00026551	0.033091577	0.001800164	0.007829787	0.006873467	0.009397178	0.012630988	0.0009905	2.18E-05	0.00256377	0.000955795	0.002617098	0	9.07E-05	0.001010023	0.003582733	0.003650984	0.012659704	0.000559177	0	0.006143306	0.008418099	0.000521014	0.004738273	0.014367635	0.001912655	0.000124732	0.000867115	0.003678725	0.00026075
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._HSISM1	0.006036559	0.072132889	0.000824866	0.002190399	0	0.006070772	0.01091729	0.003971452	0.002298068	0.003874065	0.000765299	0.000248545	0.034206089	0.010333049	0.007624943	0.009442446	0.00645105	0.092530508	0.003003371	0.000443176	0.001533938	0	0	0.021723911	0.000442517	0.033142473	0.001989958	0.008851064	0.006016147	0.009224313	0.00944985	0.001035523	3.27E-05	0.0023366	0.000238949	0.003086834	0	0.000113397	0.00143734	0.003398256	0.003725969	0.011626939	0.000588608	0	0.007247403	0.004735181	0.000521014	0.004620948	0.013107316	0.002072043	0.000187099	0.000867115	0.004904966	0.000279714
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0.003678117	0.002130908	0	0.003344506	0	0.005591501	0.005102646	0.002950164	0.00400034	0.001022956	0	0.00027837	6.63E-05	0.013748933	0.00917258	5.00E-05	0.001656351	0.022596218	0.004363183	0.000207739	0.000255656	0.001043569	0	0.02091775	0	0.051674973	0.00330126	0.006978723	0.017876978	0.010352742	0.004210329	0	0.000201614	0.000194717	0.000159299	0.003355254	3.39E-05	5.67E-05	0	0.015039711	0.004095722	0.045616578	5.89E-05	0.000704846	0.010984344	0	0.003994443	0.000743057	0.067490075	0.021676761	9.35E-05	0.000216779	0.00030656	0.000907884
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.003028521	0.000148338	3.75E-05	0	0	0.000958543	0.003322653	0.000376999	0.000680909	0.005345197	0.003443846	0	0.000928329	0.017164816	0.000792692	0.001174061	0.008194578	0.023803138	0.000846588	0	0	0	0.000339536	0.006237139	0.00053102	0.000272859	0.000569381	0.000851064	0.000499482	0.000115244	0.00130988	9.00E-05	0	0.006166028	0.005336519	0.000335525	0	0	7.77E-05	0.000504884	0.001153215	0.00907834	0.000824051	0.00061674	0.007304023	0	0.001042028	0.001189714	0.014934778	0.239400701	0	0	0	0.000507277
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.002270659	0.06839958	0.000881107	0.005207908	0.00019955	0.006070772	0.002135991	0.005660964	0.002638522	0.004144996	0.000355317	2.49E-05	0.022791429	0.006746371	0.029669334	0.001099121	0.000610235	0.024607751	0.001179951	0.000166191	0.002300908	0.000521785	0	0.014489679	8.85E-05	0.047178454	0.000966222	0.003319149	0.00236322	0.005176371	0.003274701	0.001080546	5.45E-05	0.000227169	0.000318598	0.001409207	0	2.27E-05	3.88E-05	0.00223314	0.003120919	0.001215998	0.000279589	0.000440529	0.01016335	0.001227639	0.0012157	0.002231229	0.003024765	0.055467007	0.000467746	0	0.011036174	0.000877068
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.000901241	0.001730308	1.87E-05	0.000497709	0.000108846	0.00846713	0.01993592	0.002254013	0.002127841	0.000617825	0	3.48E-05	0.000473637	0.008112724	0.043522573	0	8.72E-05	0.018036744	0.005205119	0.000221588	0.002940049	0.001043569	0	0.006237139	0.000885034	0.027717103	0.003629086	0.010042553	0.006373985	0.007553276	0.00748503	0	0.000147124	0.000194717	0	0.002348678	1.70E-05	5.67E-05	3.88E-05	0.005689652	0.002818395	0.056319025	1.47E-05	0.000132159	0.00336891	0.010522624	0.001563043	0.001195889	0.035604008	0.010200829	0.000124732	0.000433557	0.013182097	0.000253639
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	0.005448411	0.011682245	0	0.000170712	0.000108846	0.000399393	0.002610656	0.005331839	0.00093625	8.86E-05	0.000109328	8.95E-05	0.001373548	0.052177626	7.55E-05	0.010916267	0.055095458	0.00060346	0.000240332	9.69E-05	0.002556564	0	0.002173027	0.010310372	0	0.002181458	0.00039109	0.004510638	0.018622474	0.00044657	0.00944985	0	2.72E-05	0.018076199	0.004540024	0.001342102	0	0.000170095	0.000116541	0.016787386	8.53E-05	0.008337081	0.000897626	0	0.003652011	0	0	0.001074448	0.044552272	0.000318776	8.32E-05	0	0.001226242	0.00036742
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae	0.005296254	0.007604296	0.000487421	0.00204854	3.63E-05	0	0.000237332	0.002485399	0	0.001324272	5.47E-05	4.47E-05	0.009747457	0	0.000150989	0.00027478	0.000261529	0.065307765	0.000488416	0.000124643	0.001917423	0.000260892	0.000203721	0.038419925	0	0.004164281	0.001282545	0.000255319	0.008655201	0.004326448	0.000748503	0.000225114	9.81E-05	0.001719997	0	0.00369078	0	1.13E-05	0	0.012214304	0.000995488	7.50E-05	0.023191136	0	0.024488294	0	0	0.009042239	0.000126032	0.004144087	8.32E-05	0	0.003678725	0.050673209
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_cohnii	0.000356985	8.53E-05	0.002062165	0.000153881	0.000417241	0.001996965	0.044025157	0.00047075	0.000425568	0.000805198	0.002924536	0.001048859	0.003410189	0.022801025	0.009097086	0.002772782	0.000740999	0.010124715	0.000275994	0.003268426	0.023648217	0.025828333	0.001426049	0.001463818	0.006814762	5.80E-05	0.00025881	0.007234043	0.000231104	0.00010564	0.005239521	0.012651389	0.000365085	0.002726034	0.003902828	0.012078916	0.002121737	0.000453587	0.000835211	0.00014564	0.000439566	0.001674079	0.000853481	0.003876652	0.002293123	0.005612066	0.002778743	0.000121441	0.003528893	0.006694294	4.16E-05	0.033817472	0.005824647	0.000151709
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_marcescens	8.78E-06	5.33E-06	0	0	0	0	0	0.000225401	0	2.79E-05	0	4.97E-06	9.47E-06	8.54E-05	0	2.50E-05	0.000130765	0.000134102	0	0	0	0	0	2.12E-05	8.85E-05	9.90E-06	0	0	0	4.80E-06	0.000187126	0	5.45E-06	6.49E-05	0.000159299	0	0	0	0.261537565	0	5.43E-05	0.000374794	2.94E-05	0	0	0	0	4.12E-06	6.30E-05	0	0	0	0.00030656	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella|s__Gemella_haemolysans	0.022753408	0.020659773	0.003299464	3.13E-05	7.26E-05	7.99E-05	0.000474665	0.003315195	0	1.27E-05	0.000710635	1.99E-05	0.090256333	8.54E-05	0	7.49E-05	0	6.71E-05	3.10E-06	9.69E-05	0.001022626	0	0.000203721	0.014680612	0	0.014687025	4.03E-05	0.001276596	0.000365293	0.011481172	0.001403443	0.004547296	0.000190716	0.009703382	0	0.002080258	0	5.67E-05	0	0.000815581	7.76E-06	0.000116603	0.000353165	0	0.017863715	0.000350754	0.000347343	0.018370586	0	0.009244501	1.04E-05	0	0.000613121	2.13E-05
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0.000781271	0.003309614	0.001162311	0.000189947	0	0.000239636	0.000118666	0.000412903	0	0.000187373	0.000929292	9.94E-06	0.001534585	0.000256191	0.000188736	5.00E-05	8.72E-05	0.000737562	0.000246534	0	0.000511313	0.000521785	0	0.003627723	0	0.00234687	3.45E-05	0.000170213	0.000790225	0.000120046	0	0.001305659	0	0	0	0	0	0	0	0.000941802	0.000137041	9.16E-05	5.89E-05	0	0.000339722	0	0	0.000177016	0	0.203060249	2.08E-05	0	0.00030656	6.64E-05
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.000479882	0.004796542	0.000131229	0.000468856	5.44E-05	7.99E-05	0.000118666	0.002259997	0	0.000243079	0.00038265	0	0.002226096	0.000853971	0.001245659	0.00019984	0.000217941	0.001944482	7.13E-05	1.38E-05	0.006135754	0	0	0.001124382	0	0.003380341	9.78E-05	0.000170213	0.068108455	0.000273704	0	0.000225114	0	6.49E-05	7.96E-05	6.71E-05	0	0	7.77E-05	0.067712682	0.00026374	0.018056735	2.94E-05	0.000264317	0.000594513	0.000175377	0.000347343	0.000226416	0.000945239	0.036340453	0.000145521	0.000216779	0	0.00010193
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	0.014487156	0.000250486	0	0.022469019	7.26E-05	0	0.002847989	0.000345083	0.001021364	2.53E-06	0	6.46E-05	1.89E-05	0.029376601	0	0.0001249	0.002222997	0	7.75E-06	1.38E-05	0.000894797	0	0	0.002354838	0	0.017086912	0.000138032	0.013106383	0.004092769	0.001426143	0.002058383	0	9.26E-05	0.000519244	7.96E-05	0.000805261	1.70E-05	9.07E-05	0	0.003495349	0	0.020721936	2.94E-05	0	0.011408997	0.000175377	0	0.000316983	0.046379734	0	0.000426169	0.000216779	0.005211527	9.48E-06
