Var1,Var2,rho,spearman.p
s__Capnocytophaga_sputigena,s__Haemophilus_influenzae,0.346423012957704,0.00143175458314238
s__Veillonella_atypica,s__Haemophilus_influenzae,0.0537337150074518,0.631614136420808
s__Treponema_sp._OMZ_838,s__Haemophilus_influenzae,0.313009501701298,0.00419345729634024
s__Prevotella_oris,s__Haemophilus_influenzae,0.214358014395739,0.0531330650348631
s__Veillonella_parvula,s__Haemophilus_influenzae,0.0688187725323309,0.538989037605442
s__Prevotella_scopos,s__Haemophilus_influenzae,0.120386595442055,0.281330610154717
s__Aggregatibacter_segnis,s__Haemophilus_influenzae,0.601489652750289,2.28802865542832e-09
s__Neisseria_elongata,s__Haemophilus_influenzae,0.241437107557282,0.0288757324838871
s__Neisseria_mucosa,s__Haemophilus_influenzae,0.317275982617425,0.00367970536995044
s__Streptococcus_pneumoniae,s__Haemophilus_influenzae,-0.189400701060984,0.0883383365849619
s__Fusobacterium_pseudoperiodonticum,s__Haemophilus_influenzae,0.315534561835332,0.00388219905590348
s__Neisseria_meningitidis,s__Haemophilus_influenzae,0.243896864411988,0.0272348460786622
s__Prevotella_enoeca,s__Haemophilus_influenzae,0.233671934544894,0.0346136056960749
s__Streptococcus_mitis,s__Haemophilus_influenzae,-0.183730776390681,0.098471460551925
s__Prevotella_fusca,s__Haemophilus_influenzae,0.183405258055429,0.0990797630712459
s__Treponema_denticola,s__Haemophilus_influenzae,0.29819634592592,0.00650788806140135
s__Rothia_mucilaginosa,s__Haemophilus_influenzae,-0.199818238243405,0.0718841563227315
s__Prevotella_denticola,s__Haemophilus_influenzae,0.159027830686679,0.153565568562541
s__Pseudomonas_stutzeri,s__Haemophilus_influenzae,-0.397664319470785,0.00021600555175616
s__Tannerella_sp._oral_taxon_HOT-286,s__Haemophilus_influenzae,0.0941564449117815,0.40012112550138
s__Filifactor_alocis,s__Haemophilus_influenzae,0.252606831229431,0.0220443543179389
s__Streptococcus_salivarius,s__Haemophilus_influenzae,-0.203692013082884,0.0664335582549791
s__Capnocytophaga_sp._oral_taxon_878,s__Haemophilus_influenzae,0.398972556200691,0.000204970071319366
s__Campylobacter_showae,s__Haemophilus_influenzae,0.318712654762652,0.00351979753021947
s__Streptococcus_cristatus,s__Haemophilus_influenzae,-0.0790553320704249,0.480192818730203
s__Streptococcus_parasanguinis,s__Haemophilus_influenzae,-0.104086598067308,0.352057744719285
s__Capnocytophaga_sp._ChDC_OS43,s__Haemophilus_influenzae,0.354760064951973,0.00107460046968599
s__Streptococcus_sp._oral_taxon_431,s__Haemophilus_influenzae,-0.109176793279568,0.328874732879416
s__Staphylococcus_aureus,s__Haemophilus_influenzae,-0.274175818260627,0.0126805759969995
s__Aggregatibacter_aphrophilus,s__Haemophilus_influenzae,0.531463403961623,2.78615457816045e-07
s__Campylobacter_concisus,s__Haemophilus_influenzae,0.268690342797035,0.0146544920679994
s__Neisseria_sp._oral_taxon_014,s__Haemophilus_influenzae,0.280842866005638,0.010595696757306
s__Leptotrichia_sp._oral_taxon_498,s__Haemophilus_influenzae,0.20803164097457,0.0607293263882522
s__Neisseria_lactamica,s__Haemophilus_influenzae,0.26619284478161,0.0156378629750309
s__Streptococcus_oralis,s__Haemophilus_influenzae,-0.178858691511477,0.107887013101431
s__Prevotella_dentalis,s__Haemophilus_influenzae,0.176112955158565,0.113493192756811
s__Haemophilus_haemolyticus,s__Haemophilus_influenzae,0.759480057863171,0
s__Eikenella_corrodens,s__Haemophilus_influenzae,0.226661732533714,0.0405861743258487
s__Ottowia_sp._oral_taxon_894,s__Haemophilus_influenzae,0.127583842693839,0.253346112483864
s__Leptotrichia_buccalis,s__Haemophilus_influenzae,0.320732742840298,0.00330544662472998
